split_seed,strategy,topk_enrichment,ndcg,hypervolume,n_candidates,k,enrich_pareto_rank,ndcg_pareto_rank,enrich_rank_product,ndcg_rank_product,enrich_threshold_gate,ndcg_threshold_gate,topk_feasible_frac
100,activity_only,0.15,0.6418598138771221,0.3890703162566888,533,20,0.3,0.9970818128571652,0.1,0.8403082693220223,0.05,0.08818935945217878,0.05
100,toxicity_exclusion,0.19999999999999998,0.8105394993438985,0.4754744861418744,81,20,0.15,0.9961364966472338,0.1,0.8103313692130177,0.35,0.6251506321714437,1.0
100,weighted_sum,0.6666666666666666,0.9617744152296726,0.48718537010852,533,20,0.45,0.999580827034823,0.85,0.9943457900165298,0.7,0.891396628637665,0.7
100,agent_improved,0.6333333333333333,0.9857852566046481,0.5163961069604182,533,20,0.3,0.999501737943714,0.65,0.9724146231156204,0.95,0.9854394087546099,0.9
100,rule_only,0.3666666666666667,0.8516037080831106,0.38615466226821127,277,20,0.25,0.9966814795090899,0.55,0.9557341639325696,0.3,0.6023954808076719,0.3
100,random,0.05000000000000001,0.5834456699463443,0.3850785265700005,533,20,0.05,0.9461775209340078,0.05,0.6502012664911011,0.05,0.15395822241392407,0.2
100,random_weight_search,0.6666666666666666,0.943825274145467,0.5015730892307203,533,20,0.5,0.9996857567235692,0.9,0.9933636009785167,0.6,0.8384264647343154,0.55
100,nsga2_crowding,0.4666666666666666,0.8093762256576654,0.5411630599352935,533,20,0.55,1.0,0.5,0.9312526659378304,0.35,0.496876011035166,0.4
101,activity_only,0.08333333333333333,0.675779102591802,0.36368144888938536,533,20,0.15,0.9957750196864418,0.1,0.8650830436985112,0.0,0.1664792443904527,0.0
101,toxicity_exclusion,0.26666666666666666,0.8657224417648756,0.5385832436792902,92,20,0.3,0.9974771704701008,0.2,0.8628910236795232,0.3,0.7367991311450026,1.0
101,weighted_sum,0.6166666666666667,0.9508497963564437,0.5542108944023048,533,20,0.5,0.9989486720567061,0.75,0.9846250755747181,0.6,0.8689756414379073,0.55
101,agent_improved,0.7000000000000001,0.9407371276272821,0.5563914179093156,533,20,0.65,0.9994714448263662,0.8,0.9753833562180915,0.65,0.847356581837389,0.7
101,rule_only,0.4333333333333333,0.8412453348409678,0.46046881424784714,291,20,0.3,0.9974227674478909,0.65,0.9601502846090153,0.35,0.566162952465997,0.4
101,random,0.0,0.5464085109601643,0.3473649408535206,533,20,0.0,0.9035621587899376,0.0,0.5972934073228664,0.0,0.1383699667676887,0.15
101,random_weight_search,0.65,0.9305638893454719,0.5886726603303746,533,20,0.55,0.9994394231614515,0.85,0.9914808507886598,0.55,0.8007713940863044,0.65
101,nsga2_crowding,0.39999999999999997,0.7556103623090266,0.596793822950305,533,20,0.6,1.0,0.45,0.9415943072429327,0.15,0.32523677968414677,0.6
102,activity_only,0.16666666666666666,0.6544373474273285,0.3331100519651028,533,20,0.25,0.9969048105485402,0.25,0.8724203986945464,0.0,0.09398683303889908,0.0
102,toxicity_exclusion,0.2833333333333334,0.8244821210983311,0.42228546429922065,80,20,0.2,0.9963311345441185,0.2,0.8526133856987357,0.45,0.6245018430521394,1.0
102,weighted_sum,0.6,0.9580450830340485,0.5470004136073375,533,20,0.35,0.9990735191334592,0.8,0.9932699215260913,0.65,0.8817918084425949,0.6
102,agent_improved,0.5833333333333334,0.9821792799900105,0.5481720037356016,533,20,0.35,0.9987305092978958,0.55,0.9713132893560894,0.85,0.9764940413160466,0.85
102,rule_only,0.3,0.8445115955960593,0.4010159618755214,282,20,0.15,0.9962935613514214,0.45,0.9522501451689094,0.3,0.5849910802678469,0.3
102,random,0.0,0.5640346028106489,0.3739954103716806,533,20,0.0,0.9193500530035438,0.0,0.6315882582986602,0.0,0.14116549712974266,0.2
102,random_weight_search,0.5499999999999999,0.8961570399647144,0.4901572894498579,533,20,0.4,0.9991640881161449,0.85,0.9924328858323236,0.4,0.6968741459456751,0.35
102,nsga2_crowding,0.43333333333333335,0.7709065667702589,0.5525492506150944,533,20,0.6,1.0,0.45,0.927953375512298,0.25,0.38476632479847894,0.5
