strategy,topk_mean,topk_std,ndcg_mean,ndcg_std,hv_mean,hv_std,feasible_mean,feasible_std
activity_only,0.12166666666666666,0.037720544881706564,0.6486782905796624,0.014203071828611679,0.34695065635854416,0.026398281518632515,0.005,0.0158113883008419
agent_improved,0.65,0.03424674446093875,0.9689862819128324,0.014338748381709008,0.5221495866229812,0.03895559954178334,0.76,0.10219806477837264
nsga2_crowding,0.43499999999999994,0.07347209094716273,0.7808747848168953,0.02412709022967487,0.5529114555435773,0.030637379277679903,0.525,0.08579691784155835
random,0.03833333333333334,0.026117020607873687,0.5719083396226252,0.037088151570958676,0.36432703227275776,0.03879844704461811,0.19,0.03944053188733078
random_weight_search,0.6033333333333333,0.04634811914358715,0.9236443909601301,0.026626259129006884,0.5120834685561435,0.049371792667907526,0.54,0.1197218999737865
rule_only,0.3566666666666667,0.05454638981614925,0.8527995030223525,0.01413873253926851,0.41141298404322313,0.045251081682514405,0.38,0.07527726527090811
toxicity_exclusion,0.2866666666666667,0.05762801102173309,0.832397975365762,0.03126155569093713,0.47108405425827843,0.039526108702501235,1.0,0.0
weighted_sum,0.585,0.049969126270597436,0.9519992240794087,0.011829314640416927,0.49723732331492687,0.05548450163818487,0.605,0.08959786703810406
