commit	strategy	summary_metric	topk_enrichment	ndcg	hypervolume	topk_feasible_frac	n_candidates	k	status	description
ace53e8	activity_only	0.1000	0.1000	0.7141	0.2864	0.0000	533	20	baseline	Baseline activity_only on val
ace53e8	toxicity_exclusion	0.3500	0.3500	0.7607	0.5327	1.0000	85	20	baseline	Baseline toxicity_exclusion on val
ace53e8	weighted_sum	0.5000	0.5000	0.8247	0.5674	0.5500	533	20	baseline	Baseline weighted_sum on val
ace53e8	random	0.0000	0.0000	0.4331	0.4292	0.1500	533	20	baseline	Baseline random on val
ace53e8	rule_only	0.2500	0.2500	0.6651	0.5127	0.5000	262	20	baseline	Baseline rule_only on val
